,IMDb-rating,appropriate_for,director,downloads,id,industry,language,posted_date,release_date,run_time,storyline,title,views,writer
14318,4.2,,Shomu Mukherjee,"8,409",110499,Bollywood / Indian,Hindi,"31 Oct, 2014",Dec 16 1994,156,"Kailash Nath is the Manager of a Bank and lives a comfortable lifestyle with his wife, Savitri, and son, Kishan. He is friendly with the Bank Watchman, Shankar Dayal Khurana, so much so that he arranges the marriage of Kishan with Shankar's daughter, Sanam. Shortly after the marriage of the two children, the bank is robbed, Kailash becomes a suspect, is arrested, charged, and sentenced to 12 years in prison. After he completes his sentence he returns home to find out that Savitri and Kishan are not traceable. He also finds out that he was framed for the bank robbery by none other than Shankar, who is now the Mayor of this town. In the meantime, Kishan, now grown up, goes to take Sanam home with him as his bride. She refuses to do so, but he forcibly takes her, so Sanam decides to go along too. What Kishan does know is that Sanam to get married to Pradeep, the only son of millionaire Lalla, but before doing that she wants to publicly humiliate Kishan and Savitri.",Sangdil Sanam,"29,770","Anwar Khan, Tanveer Khan, Shomu Mukherjee"
14319,4.5,,K.V. Raju,"5,537",110497,Bollywood / Indian,Hindi,"31 Oct, 2014",Aug 02 1991,,"In order to continue suppressing the workers in his company; multi-millionaire, Din Dayal gets a union leader and his wife murdered. When inspector Indrajeet attempts to arrest Dayal his daughter, Shanti intervenes. This angers Indrajeet whose beloved is also Shanti and he decides to cut all connections from her. Indrajeet adopts the daughter, Neelu of the diseased union leader and years later after his retirement from police service attempts to bring her up. Indrajeet gets Neelu marry to Vijay but calamity destructs the couple when they are killed by a group of young boys. Indrajeet lodges a complaint with the police but instead of arresting the assailants the police commissioner closes the case forcing Indrajeet to take the law into his hands.",Indrajeet,"14,839","Kader Khan, Aziz Quaisi"
14320,5,,,"6,438",110496,Bollywood / Indian,Hindi,"31 Oct, 2014",Nov 01 1991,180 min,"Inspector Vijay Verma is a very lonely cop whose only family is a younger brother Ajay Verma who is studying abroad. He also has two good friends Shekhar and ma. One day when he arrests the criminal mastermind Jojo Braganza, he is shocked when Jojo is released from police custody because his corrupt lawyer shows the court a video tape showing him at a completely different place so therefore he couldn't have committed the crime. From this day on they become enemies and Vijay is hot on Jojo's trail every time he commits a crime. One day while watching a film called ta Aur Geeta, he realizes that two people can be at different places at the same time if they are twins. He realizes that Jojo has a twin brother called Tony who covers for him each time he commits a crime so he can get away with it easily. He successfully gets Jojo arrested and put in prison. However Jojo escapes and hides out at the house of Shekhar and ma. When Shekhar realizes that Tony and Jojo are wanted ...",Akayla,"17,848",
14321,5.5,,"Simon Hawkins, Zeke Hawkins","3,312",110385,Hollywood / English,English,"30 Oct, 2014",Nov 14 2014,1h 32min,"Three Texas teens hope to make a break for it and escape their dead-end 
existence in a cotton-mill town but get sucked into the seedy underbelly
 of organized crime when one of them steals from the wrong man.",Bad Turn Worse,"18,699",Dutch Southern
14322,6.7,R,Zak Hilditch,"4,808",110384,Hollywood / English,English,"30 Oct, 2014",Jul 31 2014,87,"It's the last day on earth, twelve hours before a cataclysmic event will end life as we know it. James makes his way across a lawless and chaotic city to the party to end all parties. Along the way, he somewhat reluctantly saves the life of a little girl named Rose who is desperately searching for her father. Stuck with the unexpected burden of responsibility, James is forced to come to terms with what really matters in life as the final hours tick away.",These Final Hours,"25,471",Zak Hilditch
14323,6.4,R,James DeMonaco,"48,255",101712,Hollywood / English,English,"28 Jul, 2014",Jul 18 2014,103,"A couple are driving home when their car breaks down just as the Purge commences. Meanwhile, a police sergeant goes out into the streets to get revenge on the man who killed his son, and a mother and daughter run from their home after assailants destroy it. The five people meet up as they attempt to survive the night in Los Angeles.",The Purge: Anarchy,"145,835",James DeMonaco
14324,6.5,Not Rated,Ji-hoon Kim,"21,420",110383,Hollywood / English,"Korean,French","30 Oct, 2014",Dec 25 2012,121,"On Christmas Eve at Tower Sky, an ultra-luxurious building complex, a White Christmas party is held to dazzle its equally high-end tenants and VIP guests. Dae-ho, the manager of the building and single father, is forced to cancel plans with his daughter Hana to work the event. His Christmas is saved when Yoon-hee, the food mall manager with a secret crush on Dae-ho, offers to babysit Hana during the party. Meanwhile, Young-ki the legendary fire chief of Yoido Station has finally promised his first holiday date night to his long suffering wife. The party is in full swing with the spectacular sight of two helicopters flying overhead just to spray snow on the partygoers and make everything perfect. When unthinkable disaster strikes, Dae-ho and Young-ki must summon all their strength and courage to save the lives of thousands but at what cost to themselves and their loved ones?",Ta-weo (The Tower),"75,641","Sang-don Kim, Ji-hoon Kim, Yeong-ah Yoo"
14325,5.6,PG-13,Michael Bay,"120,632",98922,Hollywood / English,"English,Chinese","30 Jun, 2014",Jun 26 2014,165,"An automobile mechanic and his daughter make a discovery that brings 
down the Autobots - and a paranoid government official - on them.",Transformers: Age of Extinction,"271,698",Ehren Kruger
14326,6.1,Not Rated,Habib Faisal,"85,715",106589,Bollywood / Indian,"Hindi,English","20 Sep, 2014",Sep 19 2014,118,"A deliciously romantic coming together of Gulrez ""Gullu"" Qadir (Parineeti Chopra) a Hyderabadi shoe-sales girl disillusioned with love because of her encounters with dowry-seeking men; and Tariq ""Taru"" Haidar (Aditya Roy Kapoor) a Lucknawi cook who can charm anybody with the aroma and flavours of his biryani and kebabs. In the clash of diametrically opposite but equally spicy cultures of Hyderabad and Lucknow, Gullu and Taru arrive at a ""tuning-setting"", rewrite traditional recipes of love, crush old-fashioned world-view and make their own masaledaar albeli rangreli pichchar - Daawat-e-Ishq.",Daawat-e-Ishq,"153,218","Habib Faisal, Jyoti Kapoor"
14327,5.1,,Mahesh Bhatt,"11,661",110382,Bollywood / Indian,Hindi,"30 Oct, 2014",Jul 24 1998,141,"Bangalore-based Police Inspector Amar, a reformed juvenile, convicted for knifing a male, is approached by Mumbai's Police Commissioner Vinod Talwar, and assigned the task of locating the killer(s) of a businessman, Khanna. Amar soon finds out that the culprit is none other than his childhood friend, Raja Lokhande. His attempts to reform Raja will be ridiculed, his life will be endangered and out of control when he will be given an ultimatum to arrange an 'encounter' killing of not only Raja, but also his other childhood buddies, Surya, whose sister, Pooja, is his childhood sweetheart; and Jaggu, Raja's brother - while the underworld, led by Lala Roshanlal, asks him to prove himself by killing a Police Inspector attached to Naigaon Police Station.",Angaaray,"34,900","Robin Bhatt, Akash Khurana, Javed Siddiqui"
14328,6,Not Rated,Umesh Mehra,"30,024",110381,Bollywood / Indian,"Hindi,English","30 Oct, 2014",Jun 14 1996,162,"Khiladiyon Ka Khiladi is about the deadly game of survival in a ruthless world of crime & sleaze, Akshay (Akshay Kumar) who is an army officer on his way to the USA to attend his brother, Ajay's (Inder Kumar) wedding. On the flight meets Priya & Is is love at first sight for both of them but tragedy awaits Akshay in America. His brother is missing and is wanted by the American Police. Akshay's search for his brother leads him to the dangers Maya (Rekha) who is above even the American law. An untouchable. This starts a game of life and death. The player involved will have only one chance.",Khiladiyon Ka Khiladi,"68,932","Umesh Mehra, Anand S. Vardhan"
14329,2.7,TV-PG,Eric Small,"8,144",110168,Hollywood / English,English,"28 Oct, 2014",Nov 23 2014,91,"10,000 Days ago, Comet 23 struck Earth with the magnitude of all the 
nuclear weapons in the world sending the planet into a deep freeze. Now,
 27 years in the future, those who survived are locked in an epic battle
 of life or death.","10,000 Days","42,007",Eric Small
14330,5.2,R,James Nunn,"26,424",81570,Hollywood / English,English,"21 Oct, 2013",Oct 21 2013,93,,Green Street 3: Never Back Down,"72,745",Ronnie Thompson
14331,5.5,PG-13,M. Night Shyamalan,"14,796",110167,Hollywood / English,English,"28 Oct, 2014",Jul 21 2006,110,"Cleveland Heep, a stuttering apartment superintendent, encounters a girl named Story swimming in the complex's pool. He soon learns that she comes from the Blue World, and has a message for mankind. Will he be able to help her complete her mission?",Lady in the Water,"52,228",M. Night Shyamalan
14332,4.6,Not Rated,"Ashu Trikha, Ashu Trikha","14,711",110166,Bollywood / Indian,Hindi,"28 Oct, 2014",Nov 16 2001,153,"Suraj Saxena (Arjun Rampal) lives in a remote hill station in India with his dad (Om Puri), mom (Smita Jaykar), and sister, Asha (Amita Nangia). One day he meets with Kiran Choudhary (Diya Mirza), who has come on holiday trip with a group of girls. He offers to show her around and they fall in love with each other. Suraj is unable to see her home by the train as his dad has chest pains and has to be rushed to hospital. But Suraj is unable to get Kiran out of his mind and heart. After his sister get's married, the family decide to relocate to Bombay, where Suraj enlists in College and makes several new friends, as well as becomes a popular football player. He eventually meets Kiran and both renew their romance. Ranvir Choudhary (Vinod Khanna) does not appreciate the attentions of a poor man like Suraj on his daughter, and has Suraj brought up before him and introduced to his many friends, which include prominent lawyers, politicians, high ranking civil and municipal employees, the ...",Deewaanapan,"31,129","Rajesh Singh, Ashu Trikha"
14333,6.6,R,Vidhu Vinod Chopra,"20,621",110164,Bollywood / Indian,"Hindi,Urdu,English","28 Oct, 2014",Oct 27 2000,154,"In a valley of astonishing beauty, a small family lives in an idyllic house: a father, a mother and a son. They are a picture of happiness and love. But appearances are often deceptive. This pastoral landscape is the strife-torn valley of Kashmir, and the son, Altaaf, is an orphan of war who has been adopted by a policeman, Inayat Khan, and his wife, Neelima. Altaaf is slowly recovering from the psychic wounds of seeing his parents and his young sister shot to death before his eyes by a masked man. Years later, a rebel force infiltrates the valley on a secret mission. They need an highly trained fighter with burning anger and find that in Altaaf. He returns to the streets and by lanes of his childhood fighting for Hilal Kohistani, but also obsessed with his own private mission: he must kill the masked intruder who haunts his nightmares -- Inayat Khan.",Mission Kashmir,"52,213","Abhijit Joshi, Suketu Mehta, Vikram Chandra"
